样品ID,标准浓度(mg/L),进样体积(µL),保留时间(min),峰面积,重复编号,备注
STD-0-1,0,10,2.36,104.0,1,
STD-0-2,0,10,2.363,121.0,2,
STD-0-3,0,10,2.359,146.0,3,
STD-10-1,10,10,2.339,101789.0,1,
STD-10-2,10,10,2.343,102280.0,2,
STD-10-3,10,10,2.364,102407.0,3,
STD-20-1,20,10,2.336,205875.0,1,
STD-20-2,20,10,2.348,204768.0,2,
STD-20-3,20,10,2.347,204507.0,3,
STD-50-1,50,10,2.352,512844.0,1,
STD-50-2,50,10,2.352,513382.0,2,
STD-50-3,50,10,2.354,512820.0,3,
STD-80-1,80,10,2.357,820162.0,1,
STD-80-2,80,10,2.339,820826.0,2,
STD-80-3,80,10,2.339,819215.0,3,
STD-100-1,100,10,2.342,1025542.0,1,
STD-100-2,100,10,2.354,1024505.0,2,
STD-100-3,100,10,2.346,1025706.0,3,
