Volume_mL,pH,Temperature_C,Indicator,Recorder,Notes
0,2.1,25.0,Phenolphthalein,,
2,2.25,25.0,Phenolphthalein,,
4,2.4,25.0,Phenolphthalein,,
6,2.55,25.0,Phenolphthalein,,
8,2.7,25.0,Phenolphthalein,,
9,3.1,25.0,Phenolphthalein,,
9.5,3.6,25.0,Phenolphthalein,,
9.8,4.3,25.0,Phenolphthalein,,
10.0,7.1,25.0,Phenolphthalein,,
10.2,9.2,25.0,Phenolphthalein,,
10.5,10.2,25.0,Phenolphthalein,,
11,10.5,25.0,Phenolphthalein,,
12,10.7,25.0,Phenolphthalein,,
14,10.85,25.0,Phenolphthalein,,
16,10.95,25.0,Phenolphthalein,,
18,11.0,25.0,Phenolphthalein,,
20,11.05,25.0,Phenolphthalein,,
