表,指标,组别,时间,均值,SD
表1 稳定性与可复用性,课堂故障率(%),EG,T0,18.1,6.3
表1 稳定性与可复用性,课堂故障率(%),EG,T2,6.2,3.4
表1 稳定性与可复用性,课堂故障率(%),CG,T0,17.4,5.9
表1 稳定性与可复用性,课堂故障率(%),CG,T2,13.9,5.2
表1 稳定性与可复用性,切换时长(分钟),EG,T0,6.7,1.5
表1 稳定性与可复用性,切换时长(分钟),EG,T2,2.3,0.9
表1 稳定性与可复用性,切换时长(分钟),CG,T0,6.5,1.6
表1 稳定性与可复用性,切换时长(分钟),CG,T2,5.2,1.4
表1 稳定性与可复用性,脚本可复用率(%),EG,T0,31.0,9.2
表1 稳定性与可复用性,脚本可复用率(%),EG,T2,82.4,11.5
表1 稳定性与可复用性,脚本可复用率(%),CG,T0,28.6,8.5
表1 稳定性与可复用性,脚本可复用率(%),CG,T2,36.1,10.3
表2 学习成效,报告结构化评分(0-100),EG,T0,62.4,8.7
表2 学习成效,报告结构化评分(0-100),EG,T2,78.1,7.9
表2 学习成效,报告结构化评分(0-100),CG,T0,63.1,8.4
表2 学习成效,报告结构化评分(0-100),CG,T2,68.0,8.1
表2 学习成效,不确定度表达质量(0-4),EG,T0,1.23,0.52
表2 学习成效,不确定度表达质量(0-4),EG,T2,3.08,0.46
表2 学习成效,不确定度表达质量(0-4),CG,T0,1.27,0.49
表2 学习成效,不确定度表达质量(0-4),CG,T2,1.92,0.58
表2 学习成效,概念小测(0-20),EG,T0,10.4,2.1
表2 学习成效,概念小测(0-20),EG,T2,15.8,2.0
表2 学习成效,概念小测(0-20),CG,T0,10.2,2.0
表2 学习成效,概念小测(0-20),CG,T2,12.6,2.3
表3 教师发展,TPACK自评(1-5),EG,T0,2.82,0.41
表3 教师发展,TPACK自评(1-5),EG,T2,3.92,0.48
表3 教师发展,TPACK自评(1-5),CG,T0,2.89,0.45
表3 教师发展,TPACK自评(1-5),CG,T2,3.12,0.42
表3 教师发展,同伴观察(0-4),EG,T0,1.9,0.5
表3 教师发展,同伴观察(0-4),EG,T2,3.2,0.4
表3 教师发展,同伴观察(0-4),CG,T0,1.9,0.5
表3 教师发展,同伴观察(0-4),CG,T2,2.4,0.5
表3 教师发展,教案-实施一致性(%),EG,T0,58.2,10.5
表3 教师发展,教案-实施一致性(%),EG,T2,87.6,8.1
表3 教师发展,教案-实施一致性(%),CG,T0,59.1,9.8
表3 教师发展,教案-实施一致性(%),CG,T2,66.2,9.4
