Table,Metric,Group,Time,Mean,SD
Table 1 Stability & Reusability,Failure Rate (%),EG,T0,18.1,6.3
Table 1 Stability & Reusability,Failure Rate (%),EG,T2,6.2,3.4
Table 1 Stability & Reusability,Failure Rate (%),CG,T0,17.4,5.9
Table 1 Stability & Reusability,Failure Rate (%),CG,T2,13.9,5.2
Table 1 Stability & Reusability,Switch Time (min),EG,T0,6.7,1.5
Table 1 Stability & Reusability,Switch Time (min),EG,T2,2.3,0.9
Table 1 Stability & Reusability,Switch Time (min),CG,T0,6.5,1.6
Table 1 Stability & Reusability,Switch Time (min),CG,T2,5.2,1.4
Table 1 Stability & Reusability,Script Reusability (%),EG,T0,31.0,9.2
Table 1 Stability & Reusability,Script Reusability (%),EG,T2,82.4,11.5
Table 1 Stability & Reusability,Script Reusability (%),CG,T0,28.6,8.5
Table 1 Stability & Reusability,Script Reusability (%),CG,T2,36.1,10.3
Table 2 Learning Outcomes,Structured Report Score (0-100),EG,T0,62.4,8.7
Table 2 Learning Outcomes,Structured Report Score (0-100),EG,T2,78.1,7.9
Table 2 Learning Outcomes,Structured Report Score (0-100),CG,T0,63.1,8.4
Table 2 Learning Outcomes,Structured Report Score (0-100),CG,T2,68.0,8.1
Table 2 Learning Outcomes,Uncertainty Quality (0-4),EG,T0,1.23,0.52
Table 2 Learning Outcomes,Uncertainty Quality (0-4),EG,T2,3.08,0.46
Table 2 Learning Outcomes,Uncertainty Quality (0-4),CG,T0,1.27,0.49
Table 2 Learning Outcomes,Uncertainty Quality (0-4),CG,T2,1.92,0.58
Table 2 Learning Outcomes,Concept Quiz (0-20),EG,T0,10.4,2.1
Table 2 Learning Outcomes,Concept Quiz (0-20),EG,T2,15.8,2.0
Table 2 Learning Outcomes,Concept Quiz (0-20),CG,T0,10.2,2.0
Table 2 Learning Outcomes,Concept Quiz (0-20),CG,T2,12.6,2.3
Table 3 Teacher Growth,TPACK Self-rating (1-5),EG,T0,2.82,0.41
Table 3 Teacher Growth,TPACK Self-rating (1-5),EG,T2,3.92,0.48
Table 3 Teacher Growth,TPACK Self-rating (1-5),CG,T0,2.89,0.45
Table 3 Teacher Growth,TPACK Self-rating (1-5),CG,T2,3.12,0.42
Table 3 Teacher Growth,Peer Observation (0-4),EG,T0,1.9,0.5
Table 3 Teacher Growth,Peer Observation (0-4),EG,T2,3.2,0.4
Table 3 Teacher Growth,Peer Observation (0-4),CG,T0,1.9,0.5
Table 3 Teacher Growth,Peer Observation (0-4),CG,T2,2.4,0.5
Table 3 Teacher Growth,Lesson-Implementation Consistency (%),EG,T0,58.2,10.5
Table 3 Teacher Growth,Lesson-Implementation Consistency (%),EG,T2,87.6,8.1
Table 3 Teacher Growth,Lesson-Implementation Consistency (%),CG,T0,59.1,9.8
Table 3 Teacher Growth,Lesson-Implementation Consistency (%),CG,T2,66.2,9.4
